DIRECCION_SALUD,RED_SALUD,MICRO_RED,DESC_ESTAB,year,Incluidos,Curado,Tratamiento completo,Fracaso,Fallecido,Abandono,No evaluado,Excluido,p_abandono
LIMA CIUDAD,PUENTE PIEDRA,SUREÑOS,C.S. LA ENSENADA,2009,3,1,,,,2,,,66.7
LIMA CIUDAD,PUENTE PIEDRA,SUREÑOS,C.S. LADERAS DE CHILLON,2009,2,,,2,,,,,0.0
LIMA CIUDAD,PUENTE PIEDRA,SUREÑOS,C.S. LOS SUREÑOS,2009,2,1,,,,1,,,50.0
LIMA CIUDAD,PUENTE PIEDRA,SUREÑOS,C.S. SANTA ROSA,2009,1,,,,,1,,,100.0
LIMA CIUDAD,PUENTE PIEDRA,SUREÑOS,P.S. SAGRADO CORAZON DE JESUS,2009,2,,,1,,1,,,50.0
LIMA CIUDAD,PUENTE PIEDRA,ZAPALLAL,C.M.I. ZAPALLAL,2009,2,1,,,,1,,,50.0
LIMA CIUDAD,PUENTE PIEDRA,ZAPALLAL,P.S. JUAN PABLO II,2009,1,1,,,,,,,0.0
LIMA CIUDAD,PUENTE PIEDRA,ZAPALLAL,P.S. SAN BENITO,2009,1,,,,1,,,,0.0
LIMA CIUDAD,PUENTE PIEDRA,ZAPALLAL,P.S. VIRGEN DE LAS MERCEDES,2009,1,1,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED COLLIQUE,C.S. AÑO NUEVO,2009,5,5,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED COLLIQUE,C.S. COLLIQUE III ZONA,2009,2,1,,,,1,,,50.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED COLLIQUE,C.S. GUSTAVO LANATTA,2009,8,7,,1,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED COLLIQUE,C.S. LAURA RODRIGUEZ DULANTO DUKSIL,2009,4,3,,,1,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED COLLIQUE,P.S. PRIMAVERA,2009,2,2,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED COLLIQUE,P.S. SAN CARLOS,2009,1,1,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED PROGRESO,C.S. EL PROGRESO,2009,7,5,,1,,1,,,14.3
LIMA CIUDAD,TUPAC AMARU,MICRO RED PROGRESO,C.S. LA FLOR,2009,4,3,,,,1,,,25.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED PROGRESO,C.S. RAUL PORRAS BARRENECHEA,2009,4,2,,,,2,,,50.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED PROGRESO,P.S. JORGE LINGAN,2009,4,3,,,,,1,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED PROGRESO,P.S. LUIS ENRIQUE,2009,3,1,,,1,1,,,33.3
LIMA CIUDAD,TUPAC AMARU,MICRO RED PROGRESO,P.S. PUNCHAUCA,2009,1,1,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. CARLOS PHILLIPS,2009,4,4,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. CARLOS PROTZEL,2009,1,1,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. CARMEN MEDIO,2009,3,3,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. CLORINDA MALAGA,2009,3,3,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. COMAS,2009,4,4,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. HUSARES DE JUNIN,2009,3,2,,,,1,,,33.3
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. SANTA LUZMILA,2009,1,1,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED SANTA LUZMILA,C.S. SANTIAGO APOSTOL,2009,1,,,,,1,,,100.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,C.S. ERMITAÑO ALTO,2009,7,4,,,,3,,,42.9
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,C.S. ERMITAÑO BAJO,2009,5,3,,1,,1,,,20.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,C.S. TAHUANTINSUYO ALTO,2009,3,1,,,,1,1,,33.3
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,C.S. TAHUANTINSUYO BAJO,2009,1,1,,,,,,,0.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,C.S. TUPAC AMARU,2009,3,2,,,,1,,,33.3
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,P.S. JOSE OLAYA,2009,2,,,,,2,,,100.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,P.S. MILAGRO DE LA FRATERNIDAD,2009,4,2,,,1,1,,,25.0
LIMA CIUDAD,TUPAC AMARU,MICRO RED TAHUANTINSUYO,P.S. VICTOR RAUL HAYA DE LA TORRE,2009,1,1,,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED  RIMAC,C.S. CAQUETA,2009,3,1,,1,1,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED  RIMAC,C.S. CIUDAD Y CAMPO,2009,7,3,,3,,1,,,14.3
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED  RIMAC,C.S. FLOR DE AMANCAES,2009,1,,,,,,1,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED  RIMAC,C.S. LEONCIO PRADO,2009,2,2,,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED  RIMAC,C.S. RIMAC,2009,5,5,,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED  RIMAC,C.S. SAN JUAN DE AMANCAES,2009,1,1,,,,,,1,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED  RIMAC,P.S. MARISCAL CASTILLA,2009,4,2,,,,2,,,50.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,C.S. INFANTAS,2009,3,2,,,,,1,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,C.S. JUAN PABLO II,2009,2,2,,,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,C.S. PRIMAVERA,2009,2,1,,1,,,,,0.0
LIMA CIUDAD,V  RIMAC-SMP-LO,MICRO RED : LOS OLIVOS,C.S. SAGRADO CORAZON DE JESUS,2009,2,1,,,1,,,,0.0
